comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
Hey... what is it.. @ | talk . What is it... an exclusive group of some WP TALIBANS...who are good,1,0,0,0,0,0
"Bye! Don't look, come or think of comming back! Tosser.",1,0,0,0,0,0
My Band Page's deletion. You thought I was gone. Deleting the comment I posted on your 'talk page' does not,1,0,0,0,0,0
Hi! I am back again! Last warning! Stop undoing my edits or die!,1,0,0,0,0,0
""" UNBLOCK ME OR I'LL GET MY LAWYERS ON TO YOU FOR BLOCKING MY CONSTITUTIONAL RIGHT TO FREE SPEECH""",1,0,0,0,0,0
Your blatant POV pushing Neither of you guys has made any contribution to this Italian history article other than to,1,0,0,0,0,0
Give me a permanat block raseac....!!! remember me....!!! Muslims dont you worry for these images they are trying to hurt,1,0,0,0,0,0
Burn Deck If that'd guy's burn deck is like what I think it is than he is in for a,1,0,0,0,0,0
Hey why you are spreading misconceptions and trying to spread false information to the people.You not even know who won,1,0,0,0,0,0
""" And you are? Let me know when you've crawled out of their arses. '''''' Dick Laurent is dead """,1,0,0,0,0,0
"Keep your eye on it, no one cares, OK? People can put what they want on here, and clean it",1,0,0,0,0,0
God is dead I don't mean to startle anyone but God is dead. We should not worry about him anymore.,1,0,0,0,0,0
"Have you seen the reference to their claim, you moron''?? This is not a source. It´s their POV. Once I",1,0,0,0,0,0
"Thank you Hei, it's me, the William Hope fan. Guess what - I am back at a new IP, ready",1,0,0,0,0,0
"Dear Mokele, You have no right to tell people to die in a fire. Just because that IP address is",1,0,0,0,0,0
"Thank you for your RACIST experimenting with the page Katherine Heigl on Wikipedia. Your test worked, and it has been",1,0,0,0,0,0
I don't care what you say here. I don't believe one sentence anymore.,1,0,0,0,0,0
I can tell you what the argument is about here newseventsguy. It's about YOUR retroactive reversion of a simple edit,1,0,0,0,0,0
"How do you know he is dead. Its just his plane that crashed. Jeezz, quit busting his nuts, folks.",1,0,0,0,0,0
"I'm also a sock puppet of this account...SUPRISE!! -sincerely, The man that will track you down from the Internet and",1,0,0,0,0,0
DISLIKE RACISM AND I CAN SEE THAT YOU HAS PROBLEMS WITH PEOPLE WHO SPEAKS SPANISH. YOU ARE AN ANTISEMITE TOO.,1,0,0,0,0,0
Curse Wikipedia has no respect for God. Wikipedia is full of lies or dangerously evil half truths. Wikipedia has no,1,0,0,0,0,0
Hebrew Name of Lydia Appologies to Til Eulenspiegel I thought you were one of the idiots which your user page,1,0,0,0,0,0
"""\ You wasted your own time! Take this advice with you: Pull your head out of your ass! Be real",1,0,0,0,0,0
"A few things to get straight... Firstly, I do not like you. You look like a smug little prick to",1,0,0,0,0,0
"I did not intend to be disruptive, I was genuineley upset by the word constantly. I only tried to make",1,0,0,0,0,0
"Matt, when mattsanchez.info goes live on Monday, among other things you'll see an invitation to be interviewed. This time you'll",1,0,0,0,0,0
"You really are a rebel guy, rebelguys! Time to get oral from a prostitute'''!",1,0,0,0,0,0
""" Of course a true Dub will say 'depaaarted' or, more likely """"f**in' gone"""". """,1,0,0,0,0,0
"Muslim Men Harassment of MM page It is amazing how three muslim men jumped all over this page, right after",1,0,0,0,0,0
