comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51, January 11, 2016 (UTC)",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and",0,0,0,0,0,0
""" Fair use rationale for Image:Wonju.jpg Thanks for uploading Image:Wonju.jpg. I notice the image page specifies that the image is",0,0,0,0,0,0
"Oh, and the girl above started her arguments with me. She stuck her nose where it doesn't belong. I believe",0,0,0,0,0,0
Don't mean to bother you I see that you're writing something regarding removing anything posted here and if you do,0,0,0,0,0,0
""" Re-considering 1st paragraph edit? I don't understand the reasons for 's recent edit of this article not that I'm",0,0,0,0,0,0
"Radial symmetry Several now extinct lineages included in the Echinodermata were bilateral such as Homostelea, or even asymmetrical such as",0,0,0,0,0,0
""" Ok. But it will take a bit of work but I can't quite picture it. Do you have an",0,0,0,0,0,0
Not sure about a heading of 'Fight for Freedom' what will it contain?,0,0,0,0,0,0
Praise looked at this article about 6 months ago -much improved. ],0,0,0,0,0,0
"pretty much everyone from warren county/surrounding regions was born at glens falls hospital. myself included. however, i'm not sure this",0,0,0,0,0,0
"Notability of Rurika Kasuga A tag has been placed on Rurika Kasuga, requesting that it be speedily deleted from Wikipedia.",0,0,0,0,0,0
""" Sure, but the lead must briefly summarize Armenia's history. I simply added what I found necessary. If anyone thinks",0,0,0,0,0,0
TFD I think we just eced. I think we responded to each other without seeing each others responses. I added,0,0,0,0,0,0
"You had a point, and it's now ammended with appropriate encyclopedic notability/significance.",0,0,0,0,0,0
"In other words, you're too lazy to actually point anything out. Until you change that approach, the tag goes.",0,0,0,0,0,0
"A Bisexual, like a homosexual or a heterosexual, is not defined by sexual activity. (Much like a 15 year old",0,0,0,0,0,0
REDIRECT Talk:Frank Herbert Mason,0,0,0,0,0,0
""" - NeilN's bang on - You aren't being harassed at all, If you don't edit disruptively you don't get",0,0,0,0,0,0
I would appreciate an apology from both of you but I can see that is unlikely. If not Please don't,0,0,0,0,0,0
Take your belated and piffling prevarications elsewhere. Too late for here.,0,0,0,0,0,0
", 20 December 2006 (UTC) You must not play Metal Gear Solid 2 that often. GW is the Arsenal Gear",0,0,0,0,0,0
"April 2006 Thank you for experimenting with the page Andy Griffith on Wikipedia. Your test worked, and has been reverted",0,0,0,0,0,0
