comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1,0,0,0,0,0
"You are gay or antisemmitian? Archangel WHite Tiger Meow! Greetingshhh! Uh, there are two ways, why you do erased my",1,0,0,0,0,0
"FUCK YOUR FILTHY MOTHER IN THE ASS, DRY!",1,0,0,0,0,0
I'm Sorry I'm sorry I screwed around with someones talk page. It was very bad to do. I know how,1,0,0,0,0,0
GET FUCKED UP. GET FUCKEEED UP. GOT A DRINK THAT YOU CANT PUT DOWN???/ GET FUCK UP GET FUCKED UP.,1,0,0,0,0,0
Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!,1,0,0,0,0,0
=Tony Sidaway is obviously a fistfuckee. He loves an arm up his ass.,1,0,0,0,0,0
Why can't you believe how fat Artie is? Did you see him on his recent appearence on the Tonight Show,1,0,0,0,0,0
All of my edits are good. Cunts like you who revert good edits because you're too stupid to understand how,1,0,0,0,0,0
"Would you both shut up, you don't run wikipedia, especially a stupid kid.",1,0,0,0,0,0
A pair of jew-hating weiner nazi schmucks.,1,0,0,0,0,0
""" SORRY PUCK BUT NO ONE EVER SAID DICK WAS NUMBER ONE!! But he is clearly listed as being """"second",1,0,0,0,0,0
"You should be fired, you're a moronic wimp who is too lazy to do research. It makes me sick that",1,0,0,0,0,0
I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant,1,0,0,0,0,0
"REPLY ABOVE: That was me, loser. The UN defines Vietnam to be part of Southeast Asia. And far as I",1,0,0,0,0,0
you are a stupid fuck and your mother's cunt stinks,1,0,0,0,0,0
"Fuck you, block me, you faggot pussy!",1,0,0,0,0,0
"Kill all niggers. I have hard, that others have said this.. should this be included? That racists sometimes say these.",1,0,0,0,0,0
u r a tw@ fuck off u gay boy.U r smelly.Fuck ur mum poopie,1,0,0,0,0,0
Atheism is full of bias shit,1,0,0,0,0,0
this user is such a worthless goddamn faggot fuck you faggot,1,0,0,0,0,0
Fuck off You are NOT an administrator. You DON'T have the authority to tell me what to do.,1,0,0,0,0,0
"Well you are ridiculous, in fact I suspect that you are Calton, please block me, I dont care....",1,0,0,0,0,0
""" Fuck you Fuck you award go fuck yourself """,1,0,0,0,0,0
MATT HARDY IS SO FUCKY!!!''Italic text[[Media:Example.ogg]]'''''MATT HARDY IS SO FUCKY!!!,1,0,0,0,0,0
"Fuck you -User:The Bohemian Shinobis yeah, that's right, bitch! You are all pieces of shit!",1,0,0,0,0,0
Be careful who you call a moron.,1,0,0,0,0,0
"Gay The existence of CDVF is further proof that is a sad twat. He is also very ugly, and has",1,0,0,0,0,0
I NEVER FUCKING MADE THIS MOTHER FUCKING ARTICLE I JUST FUCKING EDITED IT AND THAT WAS A FUCKING LONG TIME,1,0,0,0,0,0
"Fucked with the wrong muchacho. 21:19, July 23, 2005 (UTC)",1,0,0,0,0,0
Hi Im a fucking bitch. 50.180.208.181,1,0,0,0,0,0
Add Mobile porn as additional WP:ALSO link,1,0,0,0,0,0
F**K ALL RIDES AT WORLDS OF FUN I hate all rides at Worlds of Fun because they are sh_tty and,1,0,0,0,0,0
"""""""Nazi filth"""" is impolite 04:27, 20 Jan 2004 (UTC) """,1,0,0,0,0,0
HELLO HOW DO I GET SOMEBODY TO FIX SHIT AROUND HERE?,1,0,0,0,0,0
Dictionaries How dare you call my contribution spam!!! I am a Kurd and I made a lsit of kurdish dictionaries.,1,0,0,0,0,0
You are a know it all.....Jimbo! Why don't you get a life instead of sitting in front of your computer,1,0,0,0,0,0
What a motherfucking piece of crap those fuckheads for blocking us!,1,0,0,0,0,0
"You sir are an imbecile, and a pervert.",1,0,0,0,0,0
""" Another crap article Parrots what promotion websites of capoeira schools say about myths of origin. And also that persecution",1,0,0,0,0,0
Are you fucker mother fucker have nothing to do but block University computers. Go and suck cocks,1,0,0,0,0,0
HELLO You disgrace to humanity. Stop wasting valuable Internet resources (your killing the fucking planet) and throw out your PC.,1,0,0,0,0,0
"Your retarded bot Your bot is entirely automated, that is wrong. You should not leave an unattented script just running",1,0,0,0,0,0
"IT WASNT VANDALISM, DICKHEAD",1,0,0,0,0,0
""" You Suck If you don't undelete the page """"Barry Dejay"""" I will %$#@ you!""",1,0,0,0,0,0
"Hahaha, you dont actually believe this bullshit you are telling me right now? You are talking about the access to",1,0,0,0,0,0
