comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some",0,0,0,0,0,0
""" More I can't make any real suggestions on improvement - I wondered if the section statistics should be later",0,0,0,0,0,0
"You, sir, are my hero. Any chance you remember what page that's on?",0,0,0,0,0,0
""" Congratulations from me as well, use the tools well. · talk """,0,0,0,0,0,0
"Your vandalism to the Matt Shirvington article has been reverted. Please don't do it again, or you will be banned.",0,0,0,0,0,0
"Sorry if the word 'nonsense' was offensive to you. Anyway, I'm not intending to write anything in the article(wow they",0,0,0,0,0,0
alignment on this subject and which are contrary to those of DuLithgow,0,0,0,0,0,0
bbq be a man and lets discuss it-maybe over the phone?,0,0,0,0,0,0
"Before you start throwing accusations and warnings at me, lets review the edit itself-making ad hominem attacks isn't going to",0,0,0,0,0,0
""" Juelz Santanas Age In 2002, Juelz Santana was 18 years old, then came February 18th, which makes Juelz turn",0,0,0,0,0,0
REDIRECT Talk:Voydan Pop Georgiev- Chernodrinski,0,0,0,0,0,0
The Mitsurugi point made no sense - why not argue to include Hindi on Ryo Sakazaki's page to include more,0,0,0,0,0,0
""" Regarding your recent edits Once again, please read WP:FILMPLOT before editing any more film articles. Your edits are simply",0,0,0,0,0,0
""" Good to know. About me, yeah, I'm studying now.(Deepu) """,0,0,0,0,0,0
""" Snowflakes are NOT always symmetrical! Under Geometry it is stated that """"A snowflake always has six symmetric arms."""" This",0,0,0,0,0,0
""" The Signpost: 24 September 2012 Read this Signpost in full Single-page Unsubscribe """,0,0,0,0,0,0
"There's no need to apologize. A Wikipedia article is made for reconciling knowledge about a subject from different sources, and",0,0,0,0,0,0
"Yes, because the mother of the child in the case against Michael Jackson was studied in here motives and reasonings",0,0,0,0,0,0
"""== A barnstar for you! == The Real Life Barnstar lets us be the stars """,0,0,0,0,0,0
"How could I post before the block expires? The funny thing is, you think I'm being uncivil!",0,0,0,0,0,0
I was able to post the above list so quickly because I already had it in a text file in,0,0,0,0,0,0
""" Well, not """"before the process"""" but """"before how we do things with subpages"""" His RfA is listed on NoSeptember's",0,0,0,0,0,0
""" Not at all, you are making a straw man argument here. I never claimed O'Donohue had that position, rather",0,0,0,0,0,0
""" """"Mainland Asia"""" includes """"the lower basin of China's Yangtze River"""" as well as """"Korea"""". But being specific is fine",0,0,0,0,0,0
"Hi Explicit, can you block O Fenian for edit-warring on the Giant's Causeway wp. He has made several edits which",0,0,0,0,0,0
I don't believe the Lisak criticism present there conforms with the NPV rule. Lisak doesn't have a neutral point of,0,0,0,0,0,0
