text,label
LGBTQ+ individuals should have the same rights and protections as any other citizen.,0
"Marriage should only be between a man and a woman, and LGBTQ+ rights undermine traditional values.",1
Police reform is necessary to address systemic racism and excessive use of force.,0
Law enforcement should be supported and given more power to maintain law and order.,1
A woman should have the right to choose whether to have an abortion.,0
Abortion should be illegal and considered as taking a human life.,1
Increase regulations on businesses to protect consumers and the environment.,0
Reduce regulations on businesses to promote innovation and economic growth.,1
Investing in clean energy technologies will create jobs and lead to a more sustainable future.,0
Government subsidies for clean energy distort the market and waste taxpayer money.,1
Equal rights and protections should be extended to all individuals regardless of sexual orientation or gender identity.,0
Traditional marriage and gender norms should be preserved to maintain societal stability and traditional family values.,1
Universal basic income is necessary to address income inequality and provide financial security for all citizens.,0
Universal basic income discourages work and creates dependency on government assistance.,1
Public transportation should be accessible and affordable to reduce traffic congestion and air pollution.,0
"Investments in public transportation should be minimized, and individuals should rely on private vehicles.",1
Paid family leave should be mandated by law to support working parents.,0
Paid family leave should be voluntary and determined by employers.,1
The military budget should be reduced to allocate funds for social programs and domestic needs.,0
A strong military is essential for national security and should not be compromised.,1
Trade protectionism helps protect domestic industries and jobs.,0
Free trade promotes economic growth and benefits consumers with lower prices and choices.,1
"Immigrants contribute to the economy and culture of the country, and a pathway to citizenship should be provided to undocumented immigrants.",0
"Unauthorized immigration should be stopped, and stricter border control measures should be implemented to protect jobs and national security.",1
Government should provide free college education to ensure equal access and promote upward mobility.,0
College education should be earned through personal effort and student loans.,1
The United States should provide a pathway to citizenship for undocumented immigrants.,0
Undocumented immigrants should be deported as they are breaking the law by entering the country illegally.,1
Government should heavily regulate or break up big tech companies to prevent monopolistic behavior.,0
"Government should not interfere with the operation of tech companies, as it hinders innovation.",1
Renewable energy subsidies and incentives are crucial for combating climate change and transitioning to a sustainable future.,0
Subsidies distort the free market and hinder innovation in the energy sector.,1
Policies that promote equality and inclusivity should be implemented to address systemic racism and discrimination.,0
Individuals should be judged based on their merit and not receive special treatment based on their race or gender.,1
Tax cuts for the wealthy should be rolled back to fund social programs and reduce income inequality.,0
Lower taxes for the wealthy spur economic growth and benefit all income brackets.,1
"Sustainable agriculture practices, such as organic farming and reduced pesticide use, are necessary for environmental protection and food safety.",0
"Modern agriculture techniques, including genetically modified organisms and pesticide use, are necessary to feed a growing global population.",1
Access to quality education is a fundamental right that should be guaranteed by the government.,0
School choice and competition among schools lead to better educational outcomes.,1
Immigration policies should focus on providing a path to citizenship.,0
Immigration policies should prioritize border security and enforcement.,1
Investing in renewable energy is crucial for combating climate change and reducing reliance on fossil fuels.,0
Fossil fuels are necessary for energy production and renewable energy sources are not yet economically feasible.,1
The minimum wage should be increased to ensure a living wage for all workers.,0
The minimum wage should be determined by the free market without government intervention.,1
Immigration enforcement policies should prioritize humanitarian concerns and focus on providing a pathway to citizenship for undocumented immigrants.,0
Strict immigration enforcement is necessary to protect national security and/or economic resources.,1
The government should provide affordable housing for low-income individuals.,0
Affordable housing should be left to the market and not subsidized by taxpayers.,1
Police should be held accountable for misconduct through increased transparency and civilian oversight.,0
Police officers face challenging situations and should have more support from the community.,1
Social welfare programs play a crucial role in alleviating poverty and providing a safety net for those in need.,0
"Reducing welfare programs promotes self-sufficiency, personal responsibility, and economic prosperity.",1
Abortion should be a woman's right to choose and protected by law.,0
Life begins at conception and abortion is morally wrong and should be illegal.,1
The minimum wage should be raised to provide a living wage for workers and reduce income inequality.,0
Increasing the minimum wage leads to job loss and hinders small businesses.,1
Government regulations are necessary to protect consumers and ensure market fairness.,0
Excessive government regulations hinder innovation and economic growth.,1
Net neutrality regulations are necessary to ensure equal access to the internet and protect consumers.,0
Net neutrality regulations stifle innovation and hinder economic growth in the tech industry.,1
"Investing in renewable energy sources, such as wind and solar power, is crucial to combat climate change and reduce dependence on fossil fuels.",0
Market forces should dictate the energy sector and subsidies for renewable energy sources distort the free market.,1
Government should play a larger role in providing affordable healthcare to all citizens.,0
The free market should determine healthcare costs and accessibility without government intervention.,1
Government regulations are necessary to ensure fair competition and prevent monopolies that harm consumers.,0
"Excessive government regulations stifle innovation and hinder economic growth, and the market should determine competition.",1
Gerrymandering is a form of voter suppression and should be eliminated.,0
